cn_name,en_name,rating,comment_number,director
蝙蝠侠：黑暗骑士,The Dark Knight,9.0,356554,"导演: 克里斯托弗·诺兰 Christopher Nolan   主演: 克里斯蒂安·贝尔 Christ...
                            2008 / 美国 英国 / 剧情 动作 科幻 犯罪 惊悚"
活着,人生  /  Lifetimes,9.1,297566,"导演: 张艺谋 Yimou Zhang   主演: 葛优 You Ge / 巩俐 Li Gong / 姜武 Wu Jiang
                            1994 / 中国大陆 香港 / 剧情 历史 家庭"
天空之城,天空の城ラピュタ,9.0,361318,"导演: 宫崎骏 Hayao Miyazaki   主演: 田中真弓 Mayumi Tanaka / 横泽启子 Ke...
                            1986 / 日本 / 动画 奇幻 冒险"
罗马假日,Roman Holiday,8.9,417208,"导演: 威廉·惠勒 William Wyler   主演: 奥黛丽·赫本 Audrey Hepburn / 格...
                            1953 / 美国 / 喜剧 剧情 爱情"
大话西游之月光宝盒,西遊記第壹佰零壹回之月光寶盒,8.9,439108,"导演: 刘镇伟 Jeffrey Lau   主演: 周星驰 Stephen Chow / 吴孟达 Man Tat Ng...
                            1995 / 香港 中国大陆 / 喜剧 爱情 奇幻 冒险"
飞屋环游记,Up,8.9,541959,"导演: 彼特·道格特 Pete Docter / 鲍勃·彼德森 Bob Peterson   主演: 爱德...
                            2009 / 美国 / 剧情 喜剧 动画 冒险"
疯狂动物城,Zootopia,9.2,564419,"导演: 拜伦·霍华德 Byron Howard / 瑞奇·摩尔 Rich Moore   主演: 金妮弗·...
                            2016 / 美国 / 喜剧 动画 冒险"
窃听风暴,Das Leben der Anderen,9.1,243174,"导演: 弗洛里安·亨克尔·冯·多纳斯马 Florian Henckel von Donnersmarck   ...
                            2006 / 德国 / 剧情 悬疑"
两杆大烟枪,"Lock, Stock and Two Smoking Barrels",9.1,291470,"导演: Guy Ritchie   主演: Jason Flemyng / Dexter Fletcher / Nick Moran
                            1998 / 英国 / 剧情 喜剧 犯罪"
飞越疯人院,One Flew Over the Cuckoo's Nest,9.0,295565,"导演: 米洛斯·福尔曼 Miloš Forman   主演: 杰克·尼科尔森 Jack Nichols...
                            1975 / 美国 / 剧情"
控方证人,Witness for the Prosecution,9.6,105684,"导演: 比利·怀尔德 Billy Wilder   主演: 查尔斯·劳顿 Charles Laughton / ...
                            1957 / 美国 / 剧情 犯罪 悬疑"
闻香识女人,Scent of a Woman,8.9,349375,"导演: 马丁·布莱斯 Martin Brest   主演: 阿尔·帕西诺 Al Pacino / 克里斯...
                            1992 / 美国 / 剧情"
海豚湾,The Cove,9.3,192788,"导演: Louie Psihoyos   主演: John Chisholm / Mandy-Rae Cruikshank / Char...
                            2009 / 美国 / 纪录片"
哈尔的移动城堡,ハウルの動く城,8.9,382917,"导演: 宫崎骏 Hayao Miyazaki   主演: 倍赏千惠子 Chieko Baishô / 木村拓...
                            2004 / 日本 / 爱情 动画 奇幻 冒险"
V字仇杀队,V for Vendetta,8.8,453217,"导演: 詹姆斯·麦克特格 James McTeigue   主演: 娜塔莉·波特曼 Natalie Por...
                            2005 / 美国 英国 德国 / 剧情 动作 科幻 惊悚"
辩护人,변호인,9.1,229262,"导演: 杨宇硕 Woo-seok Yang   主演: 宋康昊 Kang-ho Song / 吴达洙 Dal-su O...
                            2013 / 韩国 / 剧情"
死亡诗社,Dead Poets Society,8.9,301558,"导演: 彼得·威尔 Peter Weir   主演: 罗宾·威廉姆斯 Robin Williams / 罗伯...
                            1989 / 美国 / 剧情"
教父2,The Godfather: Part Ⅱ,9.1,202580,"导演: 弗朗西斯·福特·科波拉 Francis Ford Coppola   主演: 阿尔·帕西诺 A...
                            1974 / 美国 / 剧情 犯罪"
美丽心灵,A Beautiful Mind,8.9,326715,"导演: 朗·霍华德 Ron Howard   主演: 罗素·克劳 Russell Crowe / 詹妮弗·...
                            2001 / 美国 / 传记 剧情"
指环王2：双塔奇兵,The Lord of the Rings: The Two Towers,9.0,290067,"导演: 彼得·杰克逊 Peter Jackson   主演: 伊利亚·伍德 Elijah Wood / 西恩...
                            2002 / 美国 新西兰 / 剧情 动作 奇幻 冒险"
指环王1：魔戒再现,The Lord of the Rings: The Fellowship of the Ring,8.9,324490,"导演: 彼得·杰克逊 Peter Jackson   主演: 伊利亚·伍德 Elijah Wood / 西恩...
                            2001 / 新西兰 美国 / 剧情 动作 奇幻 冒险"
情书,Love Letter,8.8,402863,"导演: 岩井俊二 Shunji Iwai   主演: 中山美穗 Miho Nakayama / 丰川悦司 Ets...
                            1995 / 日本 / 剧情 爱情"
饮食男女,飲食男女,9.1,216974,"导演: 李安 Ang Lee   主演: 郎雄 Sihung Lung / 杨贵媚 Kuei-Mei Yang / 吴...
                            1994 / 台湾 美国 / 剧情 家庭"
美国往事,Once Upon a Time in America,9.1,187584,"导演: 赛尔乔·莱翁内 Sergio Leone   主演: 罗伯特·德尼罗 Robert De Niro ...
                            1984 / 意大利 美国 / 犯罪 剧情"
狮子王,The Lion King,8.9,302444,"导演: Roger Allers / 罗伯·明可夫 Rob Minkoff   主演: 乔纳森·泰勒·托马...
                            1994 / 美国 / 剧情 动画 冒险 歌舞 家庭"
天使爱美丽,Le fabuleux destin d'Amélie Poulain,8.7,511431,"导演: 让-皮埃尔·热内 Jean-Pierre Jeunet   主演: 奥黛丽·塔图 Audrey Tau...
                            2001 / 法国 德国 / 喜剧 爱情"
钢琴家,The Pianist,9.0,215872,"导演: 罗曼·波兰斯基 Roman Polanski   主演: 艾德里安·布洛迪 Adrien Brod...
                            2002 / 法国 德国 英国 波兰 / 剧情 传记 历史 战争"
七宗罪,Se7en,8.7,460934,"导演: 大卫·芬奇 David Fincher   主演: 摩根·弗里曼 Morgan Freeman / 布...
                            1995 / 美国 / 剧情 犯罪 悬疑 惊悚"
被嫌弃的松子的一生,嫌われ松子の一生,8.9,311727,"导演: 中岛哲也 Tetsuya Nakashima   主演: 中谷美纪 Miki Nakatani / 瑛太 E...
                            2006 / 日本 / 剧情 歌舞"
小鞋子,بچههای آسمان,9.2,149233,"导演: 马基德·马基迪 Majid Majidi   主演: Amir Farrokh Hashemian / 默罕...
                            1997 / 伊朗 / 剧情 家庭 儿童"
素媛,소원,9.1,198841,"导演: 李濬益 Jun-ik Lee   主演: 薛景求 Kyung-gu Sol / 严志媛 Ji-won Uhm ...
                            2013 / 韩国 / 剧情"
致命魔术,The Prestige,8.8,367889,"导演: 克里斯托弗·诺兰 Christopher Nolan   主演: 休·杰克曼 Hugh Jackman...
                            2006 / 美国 英国 / 剧情 悬疑 惊悚"
